sep=;
datum;I.blokk;II.blokk;III.blokk;IV.blokk
2024.02.13 17:22;515,7;516,4;515,3;0
2024.02.13 17:23;515,7;516,4;515,3;0
2024.02.13 17:24;515,7;516,4;515,3;0
2024.02.13 17:31;516;515,2;516,5;0
2024.02.13 17:33;516;515,2;516,5;0
2024.02.13 17:34;516;515,2;516,5;0
2024.02.13 17:35;516;515,2;516,5;0
2024.02.13 18:09;516,5;514,3;515,7;0
2024.02.13 18:20;515,1;515,6;515,2;0
2024.02.13 18:21;515,7;513,2;514,9;0
2024.02.13 18:35;514,6;513,9;515,1;0
2024.02.13 18:46;515,7;514,3;514,8;0
2024.02.13 18:58;515;512,5;514;0
2024.02.13 19:14;515,4;514,2;516,1;0
2024.02.13 19:26;515,3;513,8;514,9;0
2024.02.13 19:37;515,8;513,3;515,2;0
2024.02.13 19:49;515,3;512,7;515,5;0
2024.02.13 20:03;515,7;512,5;514;0
2024.02.13 20:22;516,7;513,5;514;0
2024.02.13 20:35;516,5;513,4;515,5;0
2024.02.13 20:46;516,2;514,8;515,7;0
2024.02.13 20:58;516,4;514,5;516,3;0
